contact_id,daysmart_id,first_name,last_name,email,phone,last_appointment_date,primary_service,total_appointments,lifetime_spend,loyalty_points,sms_opt_in,email_opt_in,notes,zerobounce_status,data_status,import_date
DS-200182,DS-200182,Margaret,Alvarez,william28@example.org,(417) 248-2513,2025-02-02,Consultation,45,1466.45,589,Yes,No,Long-time client,valid,LIVE,2026-04-14
DS-200184,DS-200184,Curtis,Ortiz,tthomas@example.org,(175) 250-0743,2025-07-31,Haircut,68,3196.96,107,Yes,No,Referred by friend,valid,LIVE,2026-04-14
DS-200216,DS-200216,John,Dixon,acox@example.net,(392) 827-2299,2021-06-14,Haircut,80,3303.24,32,Yes,No,Prefers afternoons,valid,LIVE,2026-04-14
DS-200217,DS-200217,Mr.,Daniel Freeman,bakerjim@example.net,(385) 677-0051,2022-01-30,Haircut,65,4034.72,1863,Yes,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-200263,DS-200263,Christy,Payne,ana92@example.net,(069) 804-2043,2020-02-24,Pedicure,39,1925.95,1665,Yes,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-200264,DS-200264,Alejandra,Price,elizabeth51@example.org,(463) 681-5798,2019-02-04,Blowout,45,3147.84,310,No,No,Allergic to latex,valid,LIVE,2026-04-14
DS-200281,DS-200281,Stephanie,Herrera,steven60@example.net,(495) 880-3955,2023-03-22,Color Treatment,27,4915.92,859,No,Yes,Allergic to latex,valid,LIVE,2026-04-14
DS-200333,DS-200333,Sandra,Kennedy,robert73@example.org,(147) 195-9796,2022-12-26,Manicure,54,1870.98,1199,No,No,Prefers afternoons,valid,LIVE,2026-04-14
DS-204939,DS-204939,April,Mcclure,zpowers@example.com,(737) 733-9871,2019-12-31,Pedicure,54,3591.58,1993,Yes,No,Referred by friend,valid,LIVE,2026-04-14
DS-200354,DS-200354,Julie,Castro,chenderson@example.org,(242) 044-8207,2025-12-07,Massage,62,3325.28,1313,No,Yes,,valid,LIVE,2026-04-14
DS-200356,DS-200356,Cynthia,Martinez,mark96@example.net,(363) 212-3476,2022-09-17,Highlights,29,3223.72,825,Yes,Yes,Long-time client,unknown,LIVE,2026-04-14
DS-200357,DS-200357,Travis,Stewart,pwells@example.com,(257) 540-9003,2025-06-05,Blowout,58,611.16,1018,Yes,Yes,Long-time client,valid,LIVE,2026-04-14
DS-200592,DS-200592,Sandra,Johnson,rsavage@example.net,(387) 875-3577,2020-11-12,Highlights,37,4866.57,1718,Yes,Yes,Allergic to latex,valid,LIVE,2026-04-14
DS-200367,DS-200367,Brittany,Farrell,jbrown@example.org,(320) 742-7617,2026-02-21,Color Treatment,46,2412.24,1168,No,No,Long-time client,valid,LIVE,2026-04-14
DS-200388,DS-200388,Nicole,Moore,zamoraamber@example.com,(346) 810-5485,2021-03-03,Blowout,43,3473.42,312,No,No,Long-time client,catch-all,LIVE,2026-04-14
DS-200389,DS-200389,Kenneth,Smith,tonya99@example.net,(893) 544-9268,2022-07-06,Massage,56,4203.75,275,No,No,Long-time client,valid,LIVE,2026-04-14
DS-200390,DS-200390,Richard,Gibson,jenniferpoole@example.org,(106) 273-7158,2022-06-05,Color Treatment,23,4212.13,1758,Yes,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-200419,DS-200419,Kara,Perkins,clarkpatricia@example.com,(363) 466-9254,2022-12-17,Manicure,32,483.19,1379,No,Yes,,valid,LIVE,2026-04-14
DS-202160,DS-202160,Stanley,Haas,ajohnson@example.com,(980) 276-4482,2023-02-03,Keratin Treatment,34,807.24,409,No,No,,valid,LIVE,2026-04-14
DS-204535,DS-204535,Travis,Hunt,brownnicholas@example.com,(251) 886-8905,2022-02-25,Highlights,64,4324.29,1063,Yes,No,First-time visitor,valid,LIVE,2026-04-14
DS-200440,DS-200440,Richard,Miller,raymond27@example.com,(689) 627-0661,2021-11-30,Haircut,1,4080.59,1736,Yes,No,Referred by friend,valid,LIVE,2026-04-14
DS-202765,DS-202765,Jay,Martinez,ystevenson@example.org,(849) 526-0682,2022-11-26,Consultation,15,3245.02,934,Yes,Yes,Long-time client,valid,LIVE,2026-04-14
DS-207222,DS-207222,Preston,Allen,sdavis@example.com,(241) 700-1373,2020-10-08,Massage,65,3718.43,443,No,No,,valid,LIVE,2026-04-14
DS-200458,DS-200458,Robert,Gonzalez,coxmelissa@example.org,(266) 201-5720,2019-05-11,Blowout,68,264.45,452,Yes,Yes,Allergic to latex,valid,LIVE,2026-04-14
DS-200468,DS-200468,Debra,Sellers,jasmine39@example.com,(727) 578-4468,2025-06-18,Keratin Treatment,39,3659.33,1180,No,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-200484,DS-200484,Sherry,Gibbs,ugordon@example.net,(443) 448-1230,2023-10-13,Blowout,70,1049.65,283,Yes,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-200495,DS-200495,Gregory,Allison,kenneththomas@example.net,(633) 302-1260,2019-04-13,Keratin Treatment,26,469.09,663,Yes,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-200496,DS-200496,Kevin,Woods,anthonydiaz@example.org,(310) 962-2728,2024-01-15,Highlights,50,3068.12,327,No,No,Prefers afternoons,valid,LIVE,2026-04-14
DS-200518,DS-200518,Courtney,Lee,jessicaroman@example.com,(404) 120-9117,2022-01-25,Keratin Treatment,72,529.83,1111,No,No,Referred by friend,valid,LIVE,2026-04-14
DS-200540,DS-200540,Robert,Knight,keith07@example.net,(272) 849-8247,2025-09-13,Haircut,61,2872.84,1344,No,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-200571,DS-200571,Daniel,Edwards,shelby69@example.org,(261) 139-8986,2019-06-26,Pedicure,37,2184.66,684,No,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-200573,DS-200573,Justin,Jones,denise93@example.com,(639) 283-6929,2023-09-13,Pedicure,30,1644.14,200,Yes,No,Allergic to latex,valid,LIVE,2026-04-14
DS-200574,DS-200574,Jason,Lucero,xchen@example.org,(270) 216-4871,2021-06-22,Keratin Treatment,63,4454.63,296,Yes,No,Allergic to latex,valid,LIVE,2026-04-14
DS-201175,DS-201175,Angela,Ritter,asmith@example.org,(440) 762-9143,2025-04-12,Keratin Treatment,65,4284.89,218,Yes,Yes,Allergic to latex,valid,LIVE,2026-04-14
DS-200607,DS-200607,Stephen,Thompson,jordan74@example.org,(759) 558-7209,2023-01-19,Pedicure,7,1472.49,1308,Yes,Yes,First-time visitor,valid,LIVE,2026-04-14
DS-200620,DS-200620,Misty,Burnett,reyestina@example.org,(546) 602-4161,2020-04-18,Blowout,77,3441.49,1722,No,Yes,,valid,LIVE,2026-04-14
DS-200622,DS-200622,Denise,Ford,colton30@example.net,(531) 949-7969,2019-12-15,Consultation,52,3712.33,1827,Yes,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-200625,DS-200625,Becky,Foster,victoriaduncan@example.org,(268) 653-6945,2024-02-06,Manicure,63,1169.49,1930,Yes,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-202102,DS-202102,Thomas,Peterson,ythompson@example.org,(702) 474-8579,2025-05-05,Blowout,4,3002.1,130,No,No,Allergic to latex,valid,LIVE,2026-04-14
DS-203746,DS-203746,Curtis,Wilson,jjohnson@example.com,(165) 081-7037,2026-02-24,Color Treatment,76,2312.56,70,No,Yes,Long-time client,valid,LIVE,2026-04-14
DS-200665,DS-200665,Dana,Hartman,mmyers@example.org,(513) 426-1923,2024-12-12,Manicure,15,239.93,261,No,No,First-time visitor,valid,LIVE,2026-04-14
DS-200666,DS-200666,Bruce,Collins,ingramcarmen@example.org,(741) 897-2154,2023-10-28,Manicure,79,2594.52,892,Yes,No,First-time visitor,valid,LIVE,2026-04-14
DS-200668,DS-200668,Sharon,Ramirez,rebecca85@example.com,(451) 017-3973,2024-03-28,Blowout,6,1795.47,1452,No,No,Long-time client,valid,LIVE,2026-04-14
DS-200669,DS-200669,Michelle,Castro,qobrien@example.com,(091) 919-1135,2020-08-29,Color Treatment,27,919.66,344,No,Yes,,valid,LIVE,2026-04-14
DS-200672,DS-200672,Mr.,Guy Medina PhD,leslietorres@example.net,(165) 972-6347,2022-01-08,Pedicure,6,1638.08,1498,Yes,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-200675,DS-200675,Michael,Robinson,scottcain@example.org,(043) 097-7688,2023-11-06,Keratin Treatment,17,3334.29,1704,No,Yes,Long-time client,valid,LIVE,2026-04-14
DS-204486,DS-204486,Robert,Burke,adam35@example.org,(609) 841-4548,2022-05-05,Consultation,11,2802.88,1540,Yes,No,,valid,LIVE,2026-04-14
DS-200693,DS-200693,Misty,Williams,frymatthew@example.com,(257) 306-6248,2025-10-17,Consultation,64,1188.9,1140,Yes,Yes,Referred by friend,unknown,LIVE,2026-04-14
DS-200544,DS-200544,Heather,Gomez,afisher@example.com,(080) 612-9439,2026-02-24,Keratin Treatment,45,3218.46,1547,Yes,Yes,Allergic to latex,valid,LIVE,2026-04-14
DS-200702,DS-200702,Justin,Lester,frankwilson@example.net,(628) 874-3127,2019-06-01,Keratin Treatment,8,4863.85,858,No,No,First-time visitor,valid,LIVE,2026-04-14
DS-200722,DS-200722,Jackie,Stewart,opierce@example.com,(562) 590-4599,2021-11-12,Manicure,53,313.39,1968,No,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-200730,DS-200730,Daniel,Lee,xharmon@example.org,(460) 401-4247,2022-07-27,Manicure,58,1244.72,658,No,Yes,Long-time client,valid,LIVE,2026-04-14
DS-201398,DS-201398,Jose,Walker,johnsonchristopher@example.org,(789) 695-1930,2024-03-25,Massage,60,2090.68,105,Yes,Yes,First-time visitor,valid,LIVE,2026-04-14
DS-200759,DS-200759,Christine,Nunez,hclarke@example.com,(507) 896-7935,2026-02-18,Haircut,79,4275.09,602,Yes,No,Allergic to latex,valid,LIVE,2026-04-14
DS-200770,DS-200770,Brian,Garner,brian83@example.net,(850) 765-9759,2025-03-13,Pedicure,11,4232.09,878,No,Yes,Long-time client,valid,LIVE,2026-04-14
DS-200779,DS-200779,Rachel,Prince,lrodriguez@example.com,(981) 942-1794,2021-10-08,Blowout,60,3691.71,589,No,No,First-time visitor,valid,LIVE,2026-04-14
DS-200795,DS-200795,Chad,Warren,coxcody@example.com,(551) 293-9130,2025-07-24,Highlights,30,2945.59,27,Yes,Yes,,valid,LIVE,2026-04-14
DS-200349,DS-200349,Amanda,Barrett,abradley@example.com,(079) 056-9659,2020-04-19,Haircut,2,3323.51,349,No,No,Long-time client,valid,LIVE,2026-04-14
DS-200811,DS-200811,Luke,Johnson,michaelsherman@example.com,(621) 276-0250,2022-05-22,Keratin Treatment,40,3767.26,1893,Yes,Yes,First-time visitor,valid,LIVE,2026-04-14
DS-200812,DS-200812,Phillip,Lewis,roberthamilton@example.net,(248) 889-9572,2022-11-11,Massage,51,51.97,344,No,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-200813,DS-200813,Jerry,Jackson,qramirez@example.net,(303) 646-8719,2023-09-08,Consultation,22,1885.76,1441,Yes,Yes,Long-time client,valid,LIVE,2026-04-14
DS-200814,DS-200814,Michael,Herring,castroralph@example.net,(920) 828-3230,2020-03-27,Massage,24,313.73,374,Yes,No,Long-time client,unknown,LIVE,2026-04-14
DS-200815,DS-200815,Juan,Morgan,greenmartin@example.org,(206) 732-3182,2026-01-01,Facial,11,446.82,255,No,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-200821,DS-200821,Paula,Benton,davidbrown@example.org,(164) 818-8044,2025-10-21,Keratin Treatment,11,2151.02,1907,No,Yes,First-time visitor,valid,LIVE,2026-04-14
DS-200822,DS-200822,Spencer,Wright,nicholasgallagher@example.net,(164) 321-2694,2025-10-22,Facial,67,178.09,1019,Yes,No,First-time visitor,valid,LIVE,2026-04-14
DS-200838,DS-200838,Malik,Proctor,stephaniezamora@example.org,(234) 266-9806,2023-06-13,Keratin Treatment,23,3883.73,1628,Yes,No,First-time visitor,valid,LIVE,2026-04-14
DS-200847,DS-200847,Emily,Espinoza,jamesmoon@example.com,(178) 170-3211,2025-08-20,Facial,80,390.31,522,No,No,First-time visitor,valid,LIVE,2026-04-14
DS-200849,DS-200849,Erica,Thomas,ccarter@example.org,(644) 037-3416,2026-04-07,Consultation,20,4962.4,888,No,Yes,,catch-all,LIVE,2026-04-14
DS-200867,DS-200867,Rebecca,Cole,kramirez@example.org,(758) 548-5965,2019-05-10,Massage,62,611.59,1001,No,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-200875,DS-200875,Kenneth,Bradley,joycekeith@example.org,(659) 143-8823,2019-07-14,Haircut,7,1075.65,966,No,Yes,Long-time client,valid,LIVE,2026-04-14
DS-200881,DS-200881,Stephanie,Dillon,maxwelldawn@example.org,(950) 143-7483,2020-06-12,Keratin Treatment,8,3708.76,814,No,Yes,Allergic to latex,valid,LIVE,2026-04-14
DS-201680,DS-201680,Natalie,Poole,gutierrezdavid@example.com,(456) 698-3985,2024-12-17,Highlights,47,2386.05,1268,Yes,No,First-time visitor,valid,LIVE,2026-04-14
DS-200892,DS-200892,Grant,Brown,gonzalezbrad@example.com,(130) 735-1045,2022-10-18,Massage,18,3803.17,1827,No,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-200893,DS-200893,James,Wilson,angelcunningham@example.org,(588) 576-6947,2020-09-24,Highlights,35,632.92,1689,Yes,Yes,,valid,LIVE,2026-04-14
DS-200894,DS-200894,Michael,Brennan,,(453) 331-4789,2024-09-26,Facial,1,139.52,874,No,Yes,,invalid,LIVE,2026-04-14
DS-200901,DS-200901,Alex,Huff,sarah80@example.org,(864) 482-2175,2023-09-24,Color Treatment,31,34.27,1742,Yes,No,,valid,LIVE,2026-04-14
DS-207627,DS-207627,Christopher,Barrett,danielle96@example.net,(806) 687-7357,2020-05-03,Facial,72,4615.61,1010,No,Yes,Allergic to latex,valid,LIVE,2026-04-14
DS-200916,DS-200916,Joshua,Johnson,tpatton@example.com,(338) 906-2354,2025-10-29,Blowout,17,1468.39,1276,No,Yes,First-time visitor,catch-all,LIVE,2026-04-14
DS-200918,DS-200918,Vincent,Mendoza,icollins@example.com,(916) 011-2411,2022-06-21,Blowout,13,1582.32,1912,No,Yes,Prefers afternoons,catch-all,LIVE,2026-04-14
DS-200932,DS-200932,Cynthia,Tran,debra19@example.net,(074) 682-3546,2026-03-02,Haircut,28,2112.48,1118,Yes,No,Allergic to latex,do_not_mail,LIVE,2026-04-14
DS-200939,DS-200939,Rebecca,Newman,juanfranklin@example.net,(626) 422-2975,2023-08-26,Consultation,5,150.71,1618,No,No,Referred by friend,valid,LIVE,2026-04-14
DS-200940,DS-200940,Whitney,Henson,joseph21@example.net,(545) 705-6820,2025-06-01,Highlights,51,3089.01,805,Yes,No,Allergic to latex,valid,LIVE,2026-04-14
DS-206174,DS-206174,Shawn,Rivas,robert07@example.org,(346) 825-8019,2021-04-30,Consultation,74,1021.57,301,No,No,Referred by friend,valid,LIVE,2026-04-14
DS-200946,DS-200946,Russell,Davis,tiffanyharris@example.com,(813) 104-5025,2021-01-09,Blowout,47,1966.19,1005,Yes,No,Prefers afternoons,valid,LIVE,2026-04-14
DS-200947,DS-200947,Andrea,Stafford,tarabowers@example.net,(574) 835-2680,2026-01-06,Consultation,49,3175.09,923,Yes,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-200959,DS-200959,Amanda,Williams,ccombs@example.com,(308) 868-4302,2025-09-29,Consultation,31,1439.48,1318,Yes,No,Referred by friend,valid,LIVE,2026-04-14
DS-206023,DS-206023,Julia,Thompson,dsmith@example.com,(305) 463-9998,2025-08-20,Haircut,35,1267.42,1435,No,No,Prefers afternoons,valid,LIVE,2026-04-14
DS-200975,DS-200975,Diane,Murray,pamelaestrada@example.com,(833) 343-0311,2022-02-02,Keratin Treatment,52,1976.57,450,No,No,Allergic to latex,valid,LIVE,2026-04-14
DS-201033,DS-201033,Andrew,Campos,margaret20@example.net,(881) 431-9279,2025-05-16,Facial,49,3733.26,1893,Yes,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-201068,DS-201068,Lisa,Sanford,hudsonglen@example.net,(498) 745-5135,2023-08-03,Pedicure,34,2067.92,1656,No,No,Long-time client,valid,LIVE,2026-04-14
DS-207168,DS-207168,David,Marshall,kevin77@example.org,(022) 818-3421,2023-06-07,Consultation,42,2333.27,1532,Yes,No,Allergic to latex,valid,LIVE,2026-04-14
DS-201084,DS-201084,Patricia,Dunlap,philliphayden@example.net,(235) 348-4864,2023-10-04,Highlights,63,3749.99,1120,No,No,Prefers afternoons,valid,LIVE,2026-04-14
DS-201085,DS-201085,Kenneth,Rose,joshua22@example.net,(021) 237-2055,2023-11-19,Highlights,42,2827.78,339,Yes,No,,valid,LIVE,2026-04-14
DS-201087,DS-201087,Jared,Smith,cruzkaren@example.net,(232) 737-9897,2024-04-24,Consultation,23,2363.06,2000,Yes,No,First-time visitor,do_not_mail,LIVE,2026-04-14
DS-201088,DS-201088,Morgan,Evans,bendermichelle@example.net,(674) 630-0099,2020-01-20,Color Treatment,8,2980.38,136,No,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-201089,DS-201089,Brent,Conley,gmiller@example.net,(151) 985-4582,2021-02-28,Consultation,75,1849.03,1570,No,No,,valid,LIVE,2026-04-14
DS-201115,DS-201115,Pamela,Burnett,umartin@example.com,(024) 465-4677,2019-06-14,Highlights,14,2140.95,551,No,Yes,Allergic to latex,valid,LIVE,2026-04-14
DS-201116,DS-201116,Dalton,Serrano,ymartinez@example.com,(783) 703-1754,2022-05-16,Keratin Treatment,18,3323.76,1614,Yes,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-201985,DS-201985,James,Smith,ogarza@example.org,(749) 538-9162,2019-04-14,Color Treatment,43,54.08,1022,Yes,No,Long-time client,valid,LIVE,2026-04-14
DS-204270,DS-204270,Andrew,Reese,wmarshall@example.org,(525) 862-1700,2026-03-26,Consultation,40,1468.31,1815,Yes,No,,unknown,LIVE,2026-04-14
DS-201127,DS-201127,Mrs.,Melissa Robinson,davidhaynes@example.com,(281) 291-6350,2024-04-23,Color Treatment,23,2667.92,785,Yes,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-204527,DS-204527,Christopher,Parsons,ewhite@example.net,(634) 596-2635,2023-04-07,Blowout,52,1104.48,841,Yes,Yes,Long-time client,valid,LIVE,2026-04-14
DS-201160,DS-201160,Christina,Brock,vdavis@example.org,(864) 942-6942,2021-07-07,Keratin Treatment,16,1795.38,940,Yes,Yes,First-time visitor,valid,LIVE,2026-04-14
DS-206087,DS-206087,Dorothy,Kim MD,xwright@example.com,(565) 146-8298,2025-10-23,Haircut,63,2499.34,1013,Yes,Yes,Long-time client,valid,LIVE,2026-04-14
DS-201179,DS-201179,Timothy,Jordan,tiffany24@example.org,(434) 741-2531,2022-04-08,Color Treatment,41,4527.42,913,Yes,Yes,Referred by friend,valid,LIVE,2026-04-14
DS-201194,DS-201194,Chad,Franklin,eric37@example.com,(979) 531-9260,2021-10-16,Haircut,17,795.68,1423,No,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-203001,DS-203001,Travis,Scott,xcox@example.org,(380) 954-1852,2024-10-04,Haircut,7,3696.89,186,Yes,Yes,First-time visitor,do_not_mail,LIVE,2026-04-14
DS-201239,DS-201239,Lindsay,Warner,elainehall@example.net,(683) 029-1585,2022-02-04,Keratin Treatment,63,3527.0,1930,Yes,No,Allergic to latex,valid,LIVE,2026-04-14
DS-201252,DS-201252,Katelyn,Dunn,ndavis@example.net,(685) 642-5706,2023-11-18,Blowout,4,539.51,1149,No,No,Referred by friend,catch-all,LIVE,2026-04-14
DS-201261,DS-201261,Melissa,Russell,julie24@example.org,(679) 241-5712,2020-11-16,Consultation,37,1446.47,1752,No,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-201262,DS-201262,Craig,Garrett,mariolewis@example.net,(468) 586-3906,2021-04-07,Massage,17,4977.88,960,No,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-201263,DS-201263,John,Fowler,perrymichael@example.org,(811) 683-7103,2023-05-09,Color Treatment,31,3084.3,897,Yes,No,,valid,LIVE,2026-04-14
DS-201275,DS-201275,Matthew,Church,paulrussell@example.com,(552) 527-4102,2023-05-29,Color Treatment,70,1515.59,1705,No,Yes,Allergic to latex,valid,LIVE,2026-04-14
DS-201276,DS-201276,Michael,Silva,abigail56@example.com,(948) 993-0051,2025-03-09,Highlights,56,4717.13,48,Yes,No,,valid,LIVE,2026-04-14
DS-205800,DS-205800,Nicholas,Ruiz,esmith@example.net,(649) 133-1614,2021-04-11,Manicure,68,4720.94,544,Yes,No,Allergic to latex,valid,LIVE,2026-04-14
DS-201299,DS-201299,Mark,Le,robert71@example.org,(429) 430-0037,2022-07-30,Blowout,48,1515.23,1001,No,Yes,Allergic to latex,valid,LIVE,2026-04-14
DS-201300,DS-201300,Kristy,Terry,jacquelinejones@example.org,(465) 986-6932,2019-06-24,Blowout,60,4618.76,1733,No,No,Long-time client,valid,LIVE,2026-04-14
DS-201301,DS-201301,John,Spencer,kgutierrez@example.org,(538) 201-1406,2020-08-04,Consultation,4,3945.56,781,Yes,No,Referred by friend,valid,LIVE,2026-04-14
DS-201351,DS-201351,Tammy,Butler,glopez@example.com,(733) 746-1215,2024-01-23,Consultation,13,3425.44,1215,Yes,No,Prefers afternoons,valid,LIVE,2026-04-14
DS-201352,DS-201352,Sheila,Jackson,gscott@example.org,(608) 481-8762,2024-03-12,Keratin Treatment,50,3275.44,99,No,Yes,First-time visitor,valid,LIVE,2026-04-14
DS-201371,DS-201371,Nicole,Thomas,stanleygary@example.org,(659) 341-0406,2026-02-07,Blowout,48,1970.32,1468,No,No,,valid,LIVE,2026-04-14
DS-201379,DS-201379,Jeffrey,Nelson,marcusgilmore@example.org,(476) 212-3601,2019-01-13,Manicure,56,2241.9,475,Yes,Yes,Long-time client,valid,LIVE,2026-04-14
DS-201384,DS-201384,William,Salas,eric02@example.net,(435) 094-7651,2023-01-12,Blowout,56,4547.76,183,No,No,Referred by friend,valid,LIVE,2026-04-14
DS-201385,DS-201385,George,Fritz,salazarbarbara@example.org,(475) 398-9137,2023-02-10,Blowout,21,1111.3,1199,Yes,Yes,Long-time client,valid,LIVE,2026-04-14
DS-201386,DS-201386,Frederick,Davis,romeromakayla@example.com,(110) 356-5942,2021-07-25,Facial,12,269.32,162,No,No,Allergic to latex,valid,LIVE,2026-04-14
DS-201403,DS-201403,Roger,Johnson,thomasowens@example.net,(740) 420-7675,2024-10-06,Highlights,73,355.1,1982,Yes,No,Referred by friend,valid,LIVE,2026-04-14
DS-201448,DS-201448,Luis,Johnson,changsamuel@example.org,(679) 490-7869,2020-07-16,Pedicure,15,4873.7,1572,No,No,Prefers afternoons,valid,LIVE,2026-04-14
DS-201458,DS-201458,Alexandra,Fisher,igraham@example.org,(762) 950-7671,2020-03-29,Consultation,14,1047.54,295,Yes,Yes,Referred by friend,catch-all,LIVE,2026-04-14
DS-202633,DS-202633,Michael,Rocha,cmyers@example.com,(296) 029-6499,2025-03-13,Keratin Treatment,28,4190.76,1479,No,No,Prefers afternoons,valid,LIVE,2026-04-14
DS-201500,DS-201500,Robert,Foley,malikdixon@example.org,(781) 913-5053,2021-07-27,Pedicure,70,1483.29,1964,Yes,Yes,Long-time client,valid,LIVE,2026-04-14
DS-203147,DS-203147,Terry,Phillips,yrodriguez@example.org,(753) 409-6199,2022-03-13,Keratin Treatment,25,3543.92,1926,No,Yes,Long-time client,valid,LIVE,2026-04-14
DS-201518,DS-201518,Darrell,Jones,gentryanthony@example.org,(669) 141-9396,2026-01-09,Highlights,19,4919.92,1702,No,No,First-time visitor,do_not_mail,LIVE,2026-04-14
DS-201520,DS-201520,Dennis,Campbell,katelynblack@example.org,(814) 051-3251,2025-03-03,Consultation,6,1184.06,766,Yes,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-201542,DS-201542,Melissa,Smith,stephanie37@example.org,(162) 660-3235,2024-01-07,Highlights,38,1337.7,100,Yes,No,Prefers afternoons,valid,LIVE,2026-04-14
DS-201543,DS-201543,Francisco,Barrett,omcdonald@example.net,(793) 957-9551,2023-06-09,Haircut,13,1391.45,108,Yes,No,Allergic to latex,valid,LIVE,2026-04-14
DS-201553,DS-201553,Melissa,Anderson,nguyenmary@example.org,(774) 354-0476,2025-01-28,Highlights,3,651.83,1881,Yes,No,Prefers afternoons,valid,LIVE,2026-04-14
DS-201570,DS-201570,Kimberly,Young,diazkenneth@example.com,(853) 045-5559,2021-06-06,Keratin Treatment,28,2389.76,1732,Yes,Yes,Long-time client,catch-all,LIVE,2026-04-14
DS-202266,DS-202266,William,Black,ssmith@example.org,(785) 710-3630,2019-07-05,Highlights,41,1519.94,677,No,Yes,Long-time client,valid,LIVE,2026-04-14
DS-201585,DS-201585,Joe,Schwartz,danielle96@example.com,(974) 425-2694,2019-12-23,Facial,45,2332.02,533,No,No,Long-time client,valid,LIVE,2026-04-14
DS-201598,DS-201598,Casey,Dyer,ajones@example.net,(244) 756-3112,2022-05-22,Consultation,11,565.21,136,No,Yes,Allergic to latex,valid,LIVE,2026-04-14
DS-201601,DS-201601,Joshua,Zamora,shane05@example.org,(031) 329-8871,2025-08-27,Keratin Treatment,15,2001.14,1296,Yes,Yes,Prefers afternoons,valid,LIVE,2026-04-14
DS-201655,DS-201655,Julie,Barnett,uroberts@example.org,(273) 968-8593,2023-12-09,Highlights,49,3449.67,1775,Yes,No,Referred by friend,valid,LIVE,2026-04-14
