Customer_ID,Full_Name,Email,Phone,contact_last_appt,Primary_Service,Total_Appointments,Total_Spent_USD,Loyalty_Points,SMS_Opt_In,Email_Opt_In,Source_System,max_appt_date_from_history,history_appt_count,no_show_count,total_revenue_from_history,resolved_last_date,data_status,last_appt_year
DS-200056,Destiny Harris,bdixon@example.com,(945) 012-2178,2025-12-08,Color Treatment,53,751.64,1106,No,No,DaySmart,2022-07-20,5,0,873.16,2022-07-20,LIVE,2022
DS-200057,Ernest Gilbert,mariawilson@example.org,(863) 695-0658,2025-07-24,Keratin Treatment,20,860.62,924,Yes,No,DaySmart,2025-09-20,10,2,1460.6,2025-09-20,LIVE,2025
DS-200058,Andrew Drake,lucasbrandon@example.com,(147) 217-2527,2025-12-04,Haircut,17,3266.01,259,No,No,DaySmart,2025-11-11,3,1,506.77,2025-11-11,LIVE,2025
DS-200059,David Bryant,toni54@example.net,(104) 485-5857,2024-07-05,Color Treatment,77,4054.2,562,No,No,DaySmart,2014-02-09,1,0,176.77,2014-02-09,ARCHIVE,2014
DS-200060,Clinton Crawford,bwinters@example.org,(877) 604-9792,2024-05-31,Haircut,61,3534.78,492,Yes,Yes,DaySmart,2024-07-21,9,2,1258.24,2024-07-21,LIVE,2024
DS-200061,Henry Jacobs,timothy33@example.com,(866) 560-3781,2026-03-14,Color Treatment,27,4454.68,1525,No,No,DaySmart,2026-03-12,3,1,429.28,2026-03-12,LIVE,2026
DS-200062,Carlos Flores,hillrebecca@example.org,(361) 090-5665,2025-07-02,Pedicure,59,819.11,1439,Yes,No,DaySmart,2025-02-17,12,4,1797.35,2025-02-17,LIVE,2025
DS-200063,Joseph Roberts,willierivera@example.net,(772) 248-7899,2025-01-25,Highlights,16,4651.42,1457,No,No,DaySmart,2025-06-29,12,1,1815.92,2025-06-29,LIVE,2025
DS-200064,Angela Lewis,melissa35@example.net,(588) 397-6961,2025-01-16,Massage,37,1631.18,981,Yes,Yes,DaySmart,2025-08-28,6,0,871.36,2025-08-28,LIVE,2025
DS-200065,Catherine Brooks,markbright@example.org,(989) 721-6941,2025-12-06,Massage,40,2300.12,102,No,No,DaySmart,2024-10-31,12,3,1988.24,2024-10-31,LIVE,2024
DS-200066,Suzanne Ross,james99@example.com,(049) 940-8606,2026-02-21,Facial,25,3249.51,1160,Yes,No,DaySmart,2022-12-30,5,1,434.21,2022-12-30,LIVE,2022
DS-200067,Mike Steele,andersonteresa@example.org,(742) 858-9235,2024-10-03,Color Treatment,72,1978.44,340,Yes,Yes,DaySmart,2026-04-01,12,3,1696.79,2026-04-01,LIVE,2026
DS-200068,John Walker,dclark@example.com,(677) 116-1918,2026-01-14,Manicure,34,4161.61,1685,Yes,Yes,DaySmart,2025-09-29,9,1,1372.71,2025-09-29,LIVE,2025
DS-200069,Joshua Vargas,walkerjade@example.net,(588) 149-8690,2025-07-09,Highlights,23,3809.21,1362,Yes,No,DaySmart,2022-08-03,8,2,1293.37,2022-08-03,LIVE,2022
DS-200070,Robert Frazier,tammyglass@example.com,(459) 503-4994,2025-08-10,Manicure,51,2266.83,973,Yes,No,DaySmart,2015-04-25,1,1,41.34,2015-04-25,ARCHIVE,2015
DS-200071,Jennifer Daniel,parksterrence@example.net,(405) 883-4356,2025-06-08,Consultation,32,275.23,259,No,Yes,DaySmart,2025-05-20,4,0,737.29,2025-05-20,LIVE,2025
DS-200072,Amanda Hickman,guzmanjose@example.org,(336) 474-0199,2025-04-28,Consultation,73,1938.91,1456,No,No,DaySmart,2026-03-27,4,1,521.95,2026-03-27,LIVE,2026
DS-200073,Donald Thomas,grodgers@example.org,(002) 651-5591,2025-03-09,Color Treatment,33,4907.07,803,No,Yes,DaySmart,2024-08-05,10,0,1561.11,2024-08-05,LIVE,2024
DS-200074,Patricia Garcia,noah30@example.com,(817) 435-6690,2024-09-09,Facial,2,1117.82,9,Yes,Yes,DaySmart,2024-12-10,3,2,644.2,2024-12-10,LIVE,2024
DS-200075,Frank Hardin,garciawilliam@example.net,(347) 938-8486,2024-12-02,Manicure,38,3709.92,259,Yes,Yes,DaySmart,2021-10-14,3,0,521.79,2021-10-14,LIVE,2021
DS-200076,Sheila Davenport,jesse30@example.org,(291) 349-7087,2024-05-14,Facial,75,3514.93,1339,Yes,Yes,DaySmart,2024-11-08,7,2,1253.15,2024-11-08,LIVE,2024
DS-200077,Heather Torres,deborahtran@example.org,(338) 525-9854,2025-12-06,Facial,69,595.16,1584,Yes,No,DaySmart,2021-03-15,1,0,258.0,2021-03-15,LIVE,2021
DS-200078,Jonathan Howe,ireed@example.net,(764) 496-8792,2024-11-01,Blowout,71,4184.46,462,No,Yes,DaySmart,2023-12-15,3,0,527.94,2023-12-15,LIVE,2023
DS-200079,Joan Robinson,knewton@example.org,(834) 288-0117,2025-10-10,Pedicure,27,1170.82,1932,No,No,DaySmart,2024-10-31,2,0,274.74,2024-10-31,LIVE,2024
DS-200080,Deborah Nunez,ellen95@example.org,(321) 567-5443,2025-10-18,Blowout,69,4118.0,674,No,Yes,DaySmart,2024-06-06,5,1,625.58,2024-06-06,LIVE,2024
DS-200081,Dale Williams,michaelfowler@example.net,(184) 447-0174,2024-10-12,Highlights,11,1164.6,587,No,No,DaySmart,2023-02-21,3,0,553.53,2023-02-21,LIVE,2023
DS-200082,Taylor Richardson,marthawilliams@example.com,(948) 285-4464,2025-05-03,Pedicure,26,4049.82,1993,No,No,DaySmart,2026-04-13,8,2,1490.95,2026-04-13,LIVE,2026
DS-200083,Mary Miller,johnbarrett@example.org,(352) 963-9194,2026-03-31,Keratin Treatment,43,3167.15,1773,No,Yes,DaySmart,2025-05-22,6,0,1094.28,2025-05-22,LIVE,2025
DS-200084,Victor Arias,jconley@example.org,(836) 759-3874,2025-09-08,Keratin Treatment,36,1460.75,489,No,Yes,DaySmart,2021-04-07,10,0,1072.54,2021-04-07,LIVE,2021
DS-200085,Zachary Owen,josephaguilar@example.net,(111) 902-5864,2025-06-11,Massage,73,1721.14,1590,Yes,No,DaySmart,2025-02-21,4,2,486.93,2025-02-21,LIVE,2025
DS-200086,Julie Patrick,haleyclinton@example.com,(348) 192-8176,2024-07-18,Manicure,56,1606.72,729,Yes,No,DaySmart,2025-03-16,1,0,232.11,2025-03-16,LIVE,2025
DS-200087,Phillip Walters,barbarahughes@example.net,(954) 394-7750,2024-07-06,Massage,28,3755.43,827,Yes,Yes,DaySmart,2026-01-31,12,1,1958.27,2026-01-31,LIVE,2026
DS-200088,Emily Thornton,phillipvance@example.org,(079) 119-2077,2025-05-18,Pedicure,68,3792.62,229,Yes,No,DaySmart,2020-04-28,2,0,317.19,2020-04-28,LIVE,2020
DS-200089,Randy Wilcox,mcgrathbilly@example.net,(777) 196-9462,2025-08-26,Color Treatment,24,3715.8,1093,Yes,Yes,DaySmart,2025-02-11,3,0,287.7,2025-02-11,LIVE,2025
DS-200090,Kathryn Sanford,krista29@example.org,(888) 118-5132,2024-04-21,Keratin Treatment,7,3995.39,1204,Yes,No,DaySmart,2025-08-15,6,0,1063.83,2025-08-15,LIVE,2025
DS-200091,Jennifer Alexander,vasquezmarilyn@example.org,(102) 575-4144,2025-07-11,Keratin Treatment,2,3173.21,1388,Yes,Yes,DaySmart,2025-05-26,7,1,977.97,2025-05-26,LIVE,2025
DS-200092,Carmen Rodriguez,matthewcarter@example.org,(552) 396-3929,2024-08-25,Color Treatment,32,1876.37,391,Yes,Yes,DaySmart,2024-01-19,3,1,332.03,2024-01-19,LIVE,2024
DS-200093,Ryan Leach,carrrichard@example.org,(693) 124-6728,2026-02-22,Manicure,60,4423.94,951,Yes,Yes,DaySmart,2025-10-21,11,2,1481.16,2025-10-21,LIVE,2025
DS-200094,Kaitlin Walsh,pmccullough@example.com,(338) 510-8061,2025-12-29,Highlights,46,975.95,350,No,Yes,DaySmart,2026-03-28,9,3,1540.19,2026-03-28,LIVE,2026
DS-200095,Mary Pena,gainestammy@example.com,(984) 503-1660,2025-08-31,Manicure,52,2572.58,746,No,Yes,DaySmart,2020-11-07,3,0,383.23,2020-11-07,LIVE,2020
DS-200096,Peter Thompson,daniellegutierrez@example.com,(227) 660-8473,2025-08-18,Consultation,5,528.86,1680,Yes,Yes,DaySmart,2025-10-12,10,1,1217.44,2025-10-12,LIVE,2025
DS-200097,Katelyn Mullins,collinsjon@example.com,(543) 424-1487,2026-03-02,Highlights,55,3943.4,1639,Yes,No,DaySmart,2023-10-13,4,0,553.59,2023-10-13,LIVE,2023
DS-200098,Douglas Hudson,laura25@example.org,(877) 906-1365,2025-11-23,Consultation,55,2983.03,983,No,No,DaySmart,2022-12-11,3,0,458.17,2022-12-11,LIVE,2022
DS-200099,Kathryn Johnson,jsellers@example.org,(485) 786-8431,2025-03-16,Color Treatment,5,1830.19,1162,No,No,DaySmart,2024-10-12,5,2,665.75,2024-10-12,LIVE,2024
DS-200100,Linda Johnson,jenniferbrown@example.com,(934) 473-6292,2025-01-15,Keratin Treatment,14,2623.04,148,Yes,No,DaySmart,2026-02-13,12,1,2020.82,2026-02-13,LIVE,2026
DS-200101,Jeffrey Decker,brandonharper@example.org,(560) 093-7171,2024-12-01,Keratin Treatment,13,2960.9,358,No,No,DaySmart,2026-01-29,12,2,1901.54,2026-01-29,LIVE,2026
DS-200102,Virginia Robertson,dtorres@example.com,(951) 631-8487,2024-07-06,Blowout,14,209.96,924,No,Yes,DaySmart,2026-03-20,11,3,1610.7,2026-03-20,LIVE,2026
DS-200103,Robert Jennings,acarson@example.net,(721) 532-0440,2025-12-28,Highlights,8,4264.84,1188,No,Yes,DaySmart,2025-11-15,3,1,366.13,2025-11-15,LIVE,2025
DS-200104,Nathan Nichols,stacy01@example.org,(417) 678-2065,2025-01-22,Keratin Treatment,26,1101.04,1808,No,No,DaySmart,2025-06-05,7,0,1176.19,2025-06-05,LIVE,2025
DS-200105,Terrance Blackwell,patrickbrandon@example.org,(829) 310-9647,2025-09-20,Pedicure,20,3485.73,380,No,No,DaySmart,2025-08-30,2,0,247.91,2025-08-30,LIVE,2025
DS-200106,Alexandra Porter,fisherphillip@example.org,(165) 183-5622,2024-06-06,Pedicure,64,3784.12,1587,No,Yes,DaySmart,2025-01-14,3,1,510.84,2025-01-14,LIVE,2025
DS-200107,Isaac Huff,jwong@example.org,(782) 099-2456,2026-01-15,Consultation,68,1455.22,1579,Yes,No,DaySmart,2023-12-12,2,0,242.4,2023-12-12,LIVE,2023
DS-200108,Justin Chung,andrewcooper@example.com,(232) 551-0040,2025-11-24,Highlights,36,2936.07,453,No,Yes,DaySmart,2025-10-30,7,1,1378.83,2025-10-30,LIVE,2025
DS-200109,Diane Levy,emullins@example.org,(265) 204-1269,2025-09-10,Massage,25,1641.94,1756,No,No,DaySmart,2025-10-07,8,1,1532.27,2025-10-07,LIVE,2025
DS-200110,Michael Peterson,fstewart@example.com,(358) 929-0871,2025-03-16,Facial,27,4625.34,338,No,Yes,DaySmart,2020-12-25,1,0,255.85,2020-12-25,LIVE,2020
DS-200111,Thomas Day,carol83@example.net,(354) 859-8463,2024-06-14,Consultation,69,235.1,1399,Yes,No,DaySmart,2023-03-06,7,0,1224.22,2023-03-06,LIVE,2023
DS-200112,Kevin Merritt,rachelshelton@example.net,(267) 536-3798,2025-07-24,Facial,75,2921.08,97,No,Yes,DaySmart,2025-08-23,3,1,511.47,2025-08-23,LIVE,2025
DS-200113,Noah Hodge,zgiles@example.net,(255) 028-2510,2024-11-29,Blowout,29,3936.52,456,Yes,No,DaySmart,2017-08-04,3,0,409.65,2017-08-04,ARCHIVE,2017
DS-200114,Christopher Lindsey,brentcooper@example.com,(337) 236-4469,2025-02-13,Highlights,28,3919.82,1788,No,No,DaySmart,2025-11-26,12,2,2384.36,2025-11-26,LIVE,2025
DS-200115,Karen Knapp,brownandrew@example.org,(275) 091-5870,2024-11-30,Color Treatment,73,4301.07,142,Yes,No,DaySmart,2020-06-05,1,0,141.99,2020-06-05,LIVE,2020
DS-200116,Steven Poole,ryansutton@example.net,(875) 750-3384,2024-04-29,Blowout,39,4184.99,1133,Yes,No,DaySmart,2025-12-07,5,1,884.76,2025-12-07,LIVE,2025
DS-200117,Lance Barker,taylorsusan@example.org,(115) 537-2050,2025-02-04,Manicure,79,2255.8,49,No,No,DaySmart,2024-02-20,3,1,322.63,2024-02-20,LIVE,2024
DS-200118,Thomas White,ashley83@example.com,(854) 322-1421,2025-06-24,Facial,53,3172.31,212,Yes,Yes,DaySmart,2026-03-06,8,1,1407.82,2026-03-06,LIVE,2026
DS-200119,Elizabeth Perry,ginamorgan@example.net,(273) 622-6694,2024-12-23,Highlights,46,3075.75,11,Yes,Yes,DaySmart,2025-11-25,11,2,1711.6,2025-11-25,LIVE,2025
DS-200120,Maria Pearson,fholt@example.net,(994) 697-5037,2025-01-18,Massage,78,4742.95,1297,Yes,Yes,DaySmart,2025-10-15,12,1,1996.49,2025-10-15,LIVE,2025
DS-200121,Wendy Singleton,rachel05@example.net,(682) 774-9923,2025-10-25,Blowout,64,1343.37,1616,Yes,Yes,DaySmart,2026-02-24,11,2,1827.94,2026-02-24,LIVE,2026
DS-200122,Joe Davis,leeriley@example.net,(154) 037-9819,2024-05-01,Keratin Treatment,62,3436.66,915,No,No,DaySmart,2024-12-30,6,1,963.73,2024-12-30,LIVE,2024
DS-200123,Karl Huber,hcervantes@example.org,(884) 882-4146,2025-03-12,Consultation,21,897.37,905,Yes,No,DaySmart,2022-11-04,6,0,706.69,2022-11-04,LIVE,2022
DS-200124,Michael Larson,mthomas@example.net,(427) 731-9431,2025-03-08,Facial,12,3870.07,170,Yes,Yes,DaySmart,2025-04-01,6,1,1251.13,2025-04-01,LIVE,2025
DS-200125,William Murphy,williamscody@example.com,(173) 723-2119,2024-08-18,Haircut,13,4226.38,1359,Yes,Yes,DaySmart,2025-05-14,6,3,612.16,2025-05-14,LIVE,2025
DS-200126,John Butler,terrywolfe@example.net,(665) 168-7400,2025-07-12,Highlights,38,1764.29,1546,Yes,No,DaySmart,2022-10-21,3,0,559.34,2022-10-21,LIVE,2022
DS-200127,Marcus Chen,nicholaskim@example.org,(477) 871-8250,2025-11-12,Consultation,48,1901.16,1576,Yes,Yes,DaySmart,2024-11-11,10,3,1818.1,2024-11-11,LIVE,2024
DS-200128,Jason Ramirez,krista84@example.org,(831) 491-2553,2026-01-07,Massage,48,2595.14,835,Yes,Yes,DaySmart,2025-06-15,11,1,1765.3,2025-06-15,LIVE,2025
DS-200129,Bryan Cruz,juliaberg@example.com,(437) 545-7034,2026-01-20,Color Treatment,12,2654.02,784,Yes,No,DaySmart,2025-11-26,7,0,939.31,2025-11-26,LIVE,2025
DS-200130,Jennifer Wallace,juliebrown@example.org,(160) 468-7547,2026-01-25,Consultation,66,4086.2,612,Yes,No,DaySmart,2025-01-30,7,0,889.18,2025-01-30,LIVE,2025
DS-200131,Cassidy Johnson,csimon@example.com,(850) 951-4078,2024-07-25,Facial,21,4789.84,345,No,No,DaySmart,2025-05-23,11,1,1973.36,2025-05-23,LIVE,2025
DS-200132,Patrick Avila,rebeccaburnett@example.org,(480) 957-2348,2025-04-17,Massage,5,4107.61,1009,Yes,Yes,DaySmart,2025-10-01,5,1,711.37,2025-10-01,LIVE,2025
DS-200133,Dustin Franklin,briannaodom@example.net,(916) 217-7214,2025-06-28,Color Treatment,49,3626.35,557,No,Yes,DaySmart,2020-04-14,3,0,370.16,2020-04-14,LIVE,2020
DS-200134,Kayla Frazier,sanchezleah@example.org,(042) 635-5102,2024-09-28,Manicure,24,2165.61,1515,Yes,No,DaySmart,2022-10-11,1,0,163.56,2022-10-11,LIVE,2022
DS-200135,Kathryn White,larry41@example.net,(390) 318-8405,2025-07-06,Massage,63,4576.23,141,Yes,No,DaySmart,2024-09-11,12,0,1750.72,2024-09-11,LIVE,2024
DS-200136,Robert Glass,bryantwhitney@example.org,(198) 232-1281,2024-10-02,Color Treatment,13,3541.13,961,No,No,DaySmart,2024-09-29,8,2,1014.86,2024-09-29,LIVE,2024
DS-200137,Victor Martinez,brownlori@example.net,(594) 753-5160,2024-11-07,Facial,39,3972.16,1693,No,Yes,DaySmart,2024-06-28,4,1,685.16,2024-06-28,LIVE,2024
DS-200138,Nicole Cardenas,jfranco@example.org,(438) 771-4717,2024-09-16,Color Treatment,30,3144.2,445,Yes,Yes,DaySmart,2026-01-17,4,0,472.6,2026-01-17,LIVE,2026
DS-200139,Brianna Bennett,yruiz@example.net,(049) 040-8916,2025-02-07,Manicure,15,235.17,933,No,No,DaySmart,2025-05-10,6,1,999.08,2025-05-10,LIVE,2025
