firstname,lastname,email,phone,lifecyclestage,hs_lead_status,deal_stage,unsubscribed_from_all_email,hs_email_open,hs_email_click,hs_analytics_last_visit_timestamp,zoho_last_open_date,zoho_lead_status,zoho_id,daysmart_id,master_id,last_appointment_date,daysmart_status,lifetime_value,total_appointments,loyalty_points,primary_service,zerobounce_status,zerobounce_score,email_verification_status,service_interests,data_rule_applied,source_system,record_type,import_date
Travis,Stewart,pwells@example.com,(257) 540-9003,customer,Working,Negotiation,False,44,30,2026-02-23,2026-02-23,Working,ZCR-100327,DS-200357,DS-200357,2025-06-05,LIVE,611.16,58,1018,Blowout,valid,10,Valid,Blowout; Repeat; Retail; VIP,Pass,DaySmart,Matched — Both Systems,2026-04-14
Sandra,Johnson,rsavage@example.net,(387) 875-3577,customer,Qualified,Perception Analysis,False,39,7,2026-01-10,2026-01-10,Qualified,ZCR-100335,DS-200592,DS-200592,2020-11-12,LIVE,4866.57,37,1718,Highlights,valid,10,Valid,Corporate; Highlights; Newsletter; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Mathew,Clay,zterry@example.net,(634) 108-5628,customer,Working,Value Proposition,False,80,19,2025-04-20,2025-04-20,Working,ZCR-100355,DS-200387,DS-200387,2012-10-23,ARCHIVE,1798.55,63,1374,Keratin Treatment,valid,10,Valid,Keratin Treatment; Repeat; Retail; VIP,Pass,DaySmart,Matched — Both Systems,2026-04-14
Richard,Gibson,jenniferpoole@example.org,(106) 273-7158,customer,New,Perception Analysis,False,13,1,2025-11-04,2025-11-04,New,ZCR-100358,DS-200390,DS-200390,2022-06-05,LIVE,4212.13,23,1758,Color Treatment,valid,10,Valid,Color Treatment; Healthcare; New Customer; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Kara,Perkins,clarkpatricia@example.com,(363) 466-9254,customer,Qualified,Qualification,False,95,5,2025-06-20,2025-06-20,Qualified,ZCR-100384,DS-200419,DS-200419,2022-12-17,LIVE,483.19,32,1379,Manicure,valid,10,Valid,Education; Manicure; Newsletter,Pass,DaySmart,Matched — Both Systems,2026-04-14
Jay,Martinez,ystevenson@example.org,(849) 526-0682,customer,Qualified,Qualification,False,33,13,2025-12-07,2025-12-07,Qualified,ZCR-100412,DS-202765,DS-202765,2022-11-26,LIVE,3245.02,15,934,Consultation,valid,10,Valid,Consultation; Course; Repeat; VIP,Pass,DaySmart,Matched — Both Systems,2026-04-14
Robert,Gonzalez,coxmelissa@example.org,(266) 201-5720,customer,Unqualified,Prospecting,False,107,31,2026-01-25,2026-01-25,Unqualified,ZCR-100419,DS-200458,DS-200458,2019-05-11,LIVE,264.45,68,452,Blowout,valid,10,Valid,Blowout; Newsletter; Retail; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Debra,Sellers,jasmine39@example.com,(727) 578-4468,customer,Working,Decision Maker,False,80,9,2025-06-13,2025-06-13,Working,ZCR-100428,DS-200468,DS-200468,2025-06-18,LIVE,3659.33,39,1180,Keratin Treatment,valid,10,Valid,Corporate; Healthcare; Keratin Treatment,Pass,DaySmart,Matched — Both Systems,2026-04-14
Sherry,Gibbs,ugordon@example.net,(443) 448-1230,customer,Unqualified,Value Proposition,False,109,36,2025-12-25,2025-12-25,Unqualified,ZCR-100442,DS-200484,DS-200484,2023-10-13,LIVE,1049.65,70,283,Blowout,valid,10,Valid,Blowout; Referral; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Diana,Anderson,dayjohn@example.org,(810) 595-5184,customer,Unqualified,Prospecting,False,110,49,2025-04-29,2025-04-29,Unqualified,ZCR-100443,DS-200485,DS-200485,2015-11-16,ARCHIVE,1601.13,73,1141,Facial,catch-all,6,Valid,Facial; Fitness; New Customer,Pass,DaySmart,Matched — Both Systems,2026-04-14
Gregory,Allison,kenneththomas@example.net,(633) 302-1260,customer,Working,Closed Won,False,60,8,2025-12-02,2025-12-02,Working,ZCR-100452,DS-200495,DS-200495,2019-04-13,LIVE,469.09,26,663,Keratin Treatment,valid,10,Valid,Education; Keratin Treatment,Pass,DaySmart,Matched — Both Systems,2026-04-14
Robert,Knight,keith07@example.net,(272) 849-8247,customer,Converted,Closed Won,False,17,15,2026-04-11,2026-04-11,Converted,ZCR-100494,DS-200540,DS-200540,2025-09-13,LIVE,2872.84,61,1344,Haircut,valid,10,Valid,Haircut; Healthcare; Newsletter,Pass,DaySmart,Matched — Both Systems,2026-04-14
Olivia,Reese,hdavis@example.com,(285) 969-3259,customer,Working,Needs Analysis,False,43,18,2025-08-25,2025-08-25,Working,ZCR-100497,DS-200837,DS-200837,2012-01-06,ARCHIVE,4849.24,44,1284,Highlights,valid,10,Valid,Course; High Value; Highlights; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Daniel,Edwards,shelby69@example.org,(261) 139-8986,customer,Converted,Closed Won,False,108,4,2025-10-12,2025-10-12,Converted,ZCR-100522,DS-200571,DS-200571,2019-06-26,LIVE,2184.66,37,684,Pedicure,valid,10,Valid,Beauty; Hospitality; Pedicure,Pass,DaySmart,Matched — Both Systems,2026-04-14
Angela,Ritter,asmith@example.org,(440) 762-9143,customer,Working,Value Proposition,False,65,41,2025-11-21,2025-11-21,Working,ZCR-100545,DS-201175,DS-201175,2025-04-12,LIVE,4284.89,65,218,Keratin Treatment,valid,10,Valid,Corporate; Keratin Treatment; New Customer; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Stephen,Thompson,jordan74@example.org,(759) 558-7209,customer,Unqualified,Prospecting,False,115,38,2025-07-11,2025-07-11,Unqualified,ZCR-100555,DS-200607,DS-200607,2023-01-19,LIVE,1472.49,7,1308,Pedicure,valid,10,Valid,Course; Pedicure; Professional,Pass,DaySmart,Matched — Both Systems,2026-04-14
Misty,Burnett,reyestina@example.org,(546) 602-4161,customer,New,Negotiation,False,104,11,2025-05-21,2025-05-21,New,ZCR-100567,DS-200620,DS-200620,2020-04-18,LIVE,3441.49,77,1722,Blowout,valid,10,Valid,Blowout; New Customer; Professional,Pass,DaySmart,Matched — Both Systems,2026-04-14
Denise,Ford,colton30@example.net,(531) 949-7969,customer,Qualified,Decision Maker,False,0,0,2026-02-28,2026-02-28,Qualified,ZCR-100569,DS-200622,DS-200622,2019-12-15,LIVE,3712.33,52,1827,Consultation,valid,10,Valid,Consultation; Hospitality; Newsletter; Professional,Pass,DaySmart,Matched — Both Systems,2026-04-14
Becky,Foster,victoriaduncan@example.org,(268) 653-6945,customer,New,Closed Won,False,52,32,2026-02-18,2026-02-18,New,ZCR-100572,DS-200625,DS-200625,2024-02-06,LIVE,1169.49,63,1930,Manicure,valid,10,Valid,Beauty; Fitness; Manicure; Referral,Pass,DaySmart,Matched — Both Systems,2026-04-14
Rebecca,Wheeler,taylorrachel@example.com,(591) 761-2143,customer,New,Prospecting,False,112,30,2025-07-07,2025-07-07,New,ZCR-100597,DS-205457,DS-205457,2015-02-28,ARCHIVE,645.27,34,637,Massage,valid,10,Valid,Beauty; Fitness; Massage; Newsletter,Pass,DaySmart,Matched — Both Systems,2026-04-14
Curtis,Wilson,jjohnson@example.com,(165) 081-7037,customer,Working,Closed Lost,False,58,40,2025-05-23,2025-05-23,Working,ZCR-100601,DS-203746,DS-203746,2026-02-24,LIVE,2312.56,76,70,Color Treatment,valid,10,Valid,Color Treatment; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Michelle,Castro,qobrien@example.com,(091) 919-1135,customer,Working,,False,98,6,2025-07-21,2025-07-21,Working,ZCR-100614,DS-200669,DS-200669,2020-08-29,LIVE,919.66,27,344,Color Treatment,valid,10,Valid,Color Treatment; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Mr.,Guy Medina PhD,leslietorres@example.net,(165) 972-6347,customer,New,Value Proposition,False,35,7,2025-09-23,2025-09-23,New,ZCR-100617,DS-200672,DS-200672,2022-01-08,LIVE,1638.08,6,1498,Pedicure,valid,10,Valid,Beauty; Education; Pedicure; Repeat; VIP,Pass,DaySmart,Matched — Both Systems,2026-04-14
Michael,Robinson,scottcain@example.org,(043) 097-7688,customer,Converted,Perception Analysis,False,16,15,2025-12-15,2025-12-15,Converted,ZCR-100620,DS-200675,DS-200675,2023-11-06,LIVE,3334.29,17,1704,Keratin Treatment,valid,10,Valid,Beauty; Healthcare; Keratin Treatment; Referral,Pass,DaySmart,Matched — Both Systems,2026-04-14
John,Rodriguez,whitakerjack@example.net,(136) 957-2790,customer,Converted,Closed Won,False,69,13,2025-10-03,2025-10-03,Converted,ZCR-100636,DS-200692,DS-200692,2014-01-15,ARCHIVE,3459.67,27,176,Keratin Treatment,valid,10,Valid,Beauty; Keratin Treatment; Newsletter,Pass,DaySmart,Matched — Both Systems,2026-04-14
Misty,Williams,frymatthew@example.com,(257) 306-6248,customer,Unqualified,Prospecting,False,4,2,2025-06-12,2025-06-12,Unqualified,ZCR-100637,DS-200693,DS-200693,2025-10-17,LIVE,1188.9,64,1140,Consultation,unknown,4,Valid,Beauty; Consultation; Referral; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Jessica,Savage,bridgescarolyn@example.com,(822) 850-1168,customer,Qualified,Prospecting,False,27,27,2025-11-03,2025-11-03,Qualified,ZCR-100638,DS-200694,DS-200694,2014-01-02,ARCHIVE,1701.92,5,233,Highlights,valid,10,Valid,Highlights; Professional; Referral; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Anthony,Cabrera,jeffrey42@example.com,(089) 164-9837,customer,Working,Value Proposition,False,113,37,2025-12-07,2025-12-07,Working,ZCR-100640,DS-200486,DS-200486,2011-08-20,ARCHIVE,2226.16,53,1912,Consultation,valid,10,Valid,Consultation; Healthcare; Referral,Pass,DaySmart,Matched — Both Systems,2026-04-14
Heather,Gomez,afisher@example.com,(080) 612-9439,customer,Converted,Perception Analysis,False,117,13,2026-03-05,2026-03-05,Converted,ZCR-100641,DS-200544,DS-200544,2026-02-24,LIVE,3218.46,45,1547,Keratin Treatment,valid,10,Valid,Keratin Treatment; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Jackie,Stewart,opierce@example.com,(562) 590-4599,customer,Converted,Value Proposition,False,87,14,2025-09-12,2025-09-12,Converted,ZCR-100663,DS-200722,DS-200722,2021-11-12,LIVE,313.39,53,1968,Manicure,valid,10,Valid,Course; Manicure; Referral,Pass,DaySmart,Matched — Both Systems,2026-04-14
Daniel,Lee,xharmon@example.org,(460) 401-4247,customer,Unqualified,,False,108,38,2025-08-16,2025-08-16,Unqualified,ZCR-100670,DS-200730,DS-200730,2022-07-27,LIVE,1244.72,58,658,Manicure,valid,10,Valid,Corporate; Manicure; Newsletter; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Austin,Gregory,johnsonryan@example.com,(620) 901-4473,customer,Working,Qualification,False,25,24,2025-12-30,2025-12-30,Working,ZCR-100672,DS-200732,DS-200732,2017-11-20,ARCHIVE,3940.78,69,1329,Consultation,valid,10,Valid,Consultation; Education; Newsletter,Pass,DaySmart,Matched — Both Systems,2026-04-14
Jose,Walker,johnsonchristopher@example.org,(789) 695-1930,customer,Working,Closed Lost,False,16,6,2026-04-12,2026-04-12,Working,ZCR-100684,DS-201398,DS-201398,2024-03-25,LIVE,2090.68,60,105,Massage,valid,10,Valid,Fitness; Massage; Newsletter,Pass,DaySmart,Matched — Both Systems,2026-04-14
Jamie,Walls,timothy23@example.net,(703) 854-7872,customer,Qualified,Closed Won,False,8,4,2025-11-11,2025-11-11,Qualified,ZCR-100698,DS-201976,DS-201976,2011-01-11,ARCHIVE,2244.76,29,1889,Facial,valid,10,Valid,Beauty; Facial; Repeat; VIP,Pass,DaySmart,Matched — Both Systems,2026-04-14
Brian,Garner,brian83@example.net,(850) 765-9759,customer,Working,Negotiation,False,56,32,2026-04-01,2026-04-01,Working,ZCR-100706,DS-200770,DS-200770,2025-03-13,LIVE,4232.09,11,878,Pedicure,valid,10,Valid,Beauty; Pedicure; Referral; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Phillip,Roberts,joneseric@example.org,(031) 421-7518,customer,Unqualified,Closed Won,False,55,36,2025-10-20,2025-10-20,Unqualified,ZCR-100723,DS-200789,DS-200789,2014-03-15,ARCHIVE,159.16,3,29,Color Treatment,catch-all,6,Valid,Color Treatment; Course; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Chad,Warren,coxcody@example.com,(551) 293-9130,customer,Qualified,Decision Maker,False,101,58,2025-05-01,2025-05-01,Qualified,ZCR-100728,DS-200795,DS-200795,2025-07-24,LIVE,2945.59,30,27,Highlights,valid,10,Valid,Highlights; Hospitality,Pass,DaySmart,Matched — Both Systems,2026-04-14
Luke,Johnson,michaelsherman@example.com,(621) 276-0250,customer,Converted,Needs Analysis,False,80,30,2025-06-21,2025-06-21,Converted,ZCR-100742,DS-200811,DS-200811,2022-05-22,LIVE,3767.26,40,1893,Keratin Treatment,valid,10,Valid,Education; Fitness; Keratin Treatment; Referral,Pass,DaySmart,Matched — Both Systems,2026-04-14
Phillip,Lewis,roberthamilton@example.net,(248) 889-9572,customer,New,Qualification,False,10,2,2025-07-29,2025-07-29,New,ZCR-100743,DS-200812,DS-200812,2022-11-11,LIVE,51.97,51,344,Massage,valid,10,Valid,Course; Healthcare; Massage; New Customer,Pass,DaySmart,Matched — Both Systems,2026-04-14
Jerry,Jackson,qramirez@example.net,(303) 646-8719,customer,Qualified,Closed Lost,False,32,0,2026-02-15,2026-02-15,Qualified,ZCR-100744,DS-200813,DS-200813,2023-09-08,LIVE,1885.76,22,1441,Consultation,valid,10,Valid,Consultation; Healthcare; High Value,Pass,DaySmart,Matched — Both Systems,2026-04-14
Juan,Morgan,greenmartin@example.org,(206) 732-3182,customer,Qualified,Proposal,False,18,4,2025-08-03,2025-08-03,Qualified,ZCR-100746,DS-200815,DS-200815,2026-01-01,LIVE,446.82,11,255,Facial,valid,10,Valid,Facial; Newsletter; Professional; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Paula,Benton,davidbrown@example.org,(164) 818-8044,customer,Qualified,,False,34,6,2025-12-04,2025-12-04,Qualified,ZCR-100751,DS-200821,DS-200821,2025-10-21,LIVE,2151.02,11,1907,Keratin Treatment,valid,10,Valid,Fitness; Keratin Treatment; Professional,Pass,DaySmart,Matched — Both Systems,2026-04-14
Cynthia,Palmer,david78@example.net,(561) 337-1844,customer,Converted,Needs Analysis,False,8,1,2025-11-24,2025-11-24,Converted,ZCR-100775,DS-200848,DS-200848,2014-06-27,ARCHIVE,2688.8,55,144,Manicure,valid,10,Valid,Manicure; Referral; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Erica,Thomas,ccarter@example.org,(644) 037-3416,customer,Working,Needs Analysis,False,118,37,2026-03-24,2026-03-24,Working,ZCR-100776,DS-200849,DS-200849,2026-04-07,LIVE,4962.4,20,888,Consultation,catch-all,6,Valid,Consultation; Retail; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Rebecca,Cole,kramirez@example.org,(758) 548-5965,customer,New,Closed Lost,False,66,31,2025-12-24,2025-12-24,New,ZCR-100792,DS-200867,DS-200867,2019-05-10,LIVE,611.59,62,1001,Massage,valid,10,Valid,Fitness; Massage; Newsletter; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Kenneth,Bradley,joycekeith@example.org,(659) 143-8823,customer,New,Perception Analysis,False,9,6,2025-04-25,2025-04-25,New,ZCR-100799,DS-200875,DS-200875,2019-07-14,LIVE,1075.65,7,966,Haircut,valid,10,Valid,Haircut; Professional; Referral; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Stephanie,Dillon,maxwelldawn@example.org,(950) 143-7483,customer,Qualified,Qualification,False,54,17,2026-03-17,2026-03-17,Qualified,ZCR-100804,DS-200881,DS-200881,2020-06-12,LIVE,3708.76,8,814,Keratin Treatment,valid,10,Valid,Hospitality; Keratin Treatment; Newsletter; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Grant,Brown,gonzalezbrad@example.com,(130) 735-1045,customer,Working,Needs Analysis,False,58,10,2025-06-01,2025-06-01,Working,ZCR-100813,DS-200892,DS-200892,2022-10-18,LIVE,3803.17,18,1827,Massage,valid,10,Valid,Hospitality; Massage; New Customer; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
James,Wilson,angelcunningham@example.org,(588) 576-6947,customer,Working,Closed Lost,False,14,0,2025-11-02,2025-11-02,Working,ZCR-100814,DS-200893,DS-200893,2020-09-24,LIVE,632.92,35,1689,Highlights,valid,10,Valid,Highlights; Referral; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Michael,Brennan,,(453) 331-4789,customer,Working,,True,90,2,2025-03-29,2025-03-29,Working,ZCR-100815,DS-200894,DS-200894,2024-09-26,LIVE,139.52,1,874,Facial,invalid,0,Valid,Facial; Wellness,Clinical Exception,DaySmart,Matched — Both Systems,2026-04-14
Christopher,Barrett,danielle96@example.net,(806) 687-7357,customer,Unqualified,Needs Analysis,False,75,38,2026-02-28,2026-02-28,Unqualified,ZCR-100825,DS-207627,DS-207627,2020-05-03,LIVE,4615.61,72,1010,Facial,valid,10,Valid,Course; Facial; Newsletter,Pass,DaySmart,Matched — Both Systems,2026-04-14
Joshua,Johnson,tpatton@example.com,(338) 906-2354,customer,Converted,Closed Lost,False,80,11,2026-02-24,2026-02-24,Converted,ZCR-100835,DS-200916,DS-200916,2025-10-29,LIVE,1468.39,17,1276,Blowout,catch-all,6,Valid,Blowout; Fitness; Hospitality; Referral,Pass,DaySmart,Matched — Both Systems,2026-04-14
Cathy,Barnes,brian65@example.net,(953) 006-2212,customer,Qualified,Qualification,False,89,44,2025-10-10,2025-10-10,Qualified,ZCR-100836,DS-200917,DS-200917,2014-05-07,ARCHIVE,4790.92,78,1161,Keratin Treatment,valid,10,Valid,Course; Keratin Treatment; New Customer; Professional,Pass,DaySmart,Matched — Both Systems,2026-04-14
Vincent,Mendoza,icollins@example.com,(916) 011-2411,customer,Working,Perception Analysis,False,47,31,2025-09-15,2025-09-15,Working,ZCR-100837,DS-200918,DS-200918,2022-06-21,LIVE,1582.32,13,1912,Blowout,catch-all,6,Valid,Blowout; New Customer; Wellness,Pass,DaySmart,Matched — Both Systems,2026-04-14
Andrea,Stafford,tarabowers@example.net,(574) 835-2680,customer,Qualified,Needs Analysis,False,21,15,2025-09-05,2025-09-05,Qualified,ZCR-100863,DS-200947,DS-200947,2026-01-06,LIVE,3175.09,49,923,Consultation,valid,10,Valid,Consultation; Course; Hospitality; Newsletter,Pass,DaySmart,Matched — Both Systems,2026-04-14
John,Shepard,schneiderraymond@example.com,(801) 867-7403,customer,New,Closed Won,False,26,10,2025-08-02,2025-08-02,New,ZCR-100871,DS-200956,DS-200956,2011-05-16,ARCHIVE,2337.58,43,1628,Haircut,valid,10,Valid,Education; Haircut; New Customer,Pass,DaySmart,Matched — Both Systems,2026-04-14
Lisa,Singh,phernandez@example.net,(419) 964-3385,customer,Unqualified,Decision Maker,False,13,2,2025-12-25,2025-12-25,Unqualified,ZCR-100887,DS-200974,DS-200974,2017-04-01,ARCHIVE,284.63,29,73,Color Treatment,valid,10,Valid,Color Treatment; Healthcare; Referral,Pass,DaySmart,Matched — Both Systems,2026-04-14
Patricia,Wilson,nramsey@example.com,(219) 262-2132,customer,Unqualified,Prospecting,False,11,2,2026-02-03,2026-02-03,Unqualified,ZCR-100937,DS-201026,DS-201026,2014-02-11,ARCHIVE,1607.92,68,1108,Massage,catch-all,6,Valid,Corporate; Massage; Repeat; VIP,Pass,DaySmart,Matched — Both Systems,2026-04-14
Andrew,Campos,margaret20@example.net,(881) 431-9279,customer,Converted,Negotiation,False,78,59,2025-05-01,2025-05-01,Converted,ZCR-100943,DS-201033,DS-201033,2025-05-16,LIVE,3733.26,49,1893,Facial,valid,10,Valid,Education; Facial; Repeat; VIP,Pass,DaySmart,Matched — Both Systems,2026-04-14
Rodney,Brooks,julie80@example.net,(705) 326-0119,customer,Qualified,,False,45,7,2026-03-20,2026-03-20,Qualified,ZCR-100967,DS-201060,DS-201060,2013-12-19,ARCHIVE,2545.16,42,565,Color Treatment,valid,10,Valid,Color Treatment; High Value; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Albert,Stone,lauramanning@example.com,(739) 190-0889,customer,Working,Negotiation,False,76,37,2025-12-13,2025-12-13,Working,ZCR-100990,DS-201086,DS-201086,2016-11-19,ARCHIVE,2371.11,78,431,Highlights,valid,10,Valid,Beauty; Course; Highlights; Repeat; VIP,Pass,DaySmart,Matched — Both Systems,2026-04-14
Morgan,Evans,bendermichelle@example.net,(674) 630-0099,customer,New,Value Proposition,False,75,43,2026-02-21,2026-02-21,New,ZCR-100992,DS-201088,DS-201088,2020-01-20,LIVE,2980.38,8,136,Color Treatment,valid,10,Valid,Color Treatment; New Customer; Retail,Pass,DaySmart,Matched — Both Systems,2026-04-14
Pamela,Burnett,umartin@example.com,(024) 465-4677,customer,Working,Decision Maker,False,102,28,2026-03-16,2026-03-16,Working,ZCR-101017,DS-201115,DS-201115,2019-06-14,LIVE,2140.95,14,551,Highlights,valid,10,Valid,Highlights; Hospitality; Repeat; Retail; VIP,Pass,DaySmart,Matched — Both Systems,2026-04-14
