master_id,zoho_id,daysmart_id,first_name,last_name,email,phone,last_known_appointment,archive_last_appt,archive_appt_count,archive_total_spent,archive_last_service,daysmart_status,zoho_lead_status,zerobounce_status,rule_applied,reason_archived,email_opens,email_clicks,source_system,record_type,archived_date
DS-200673,ZCR-100618,DS-200673,Tina,Morris,lopezlance@example.net,(848) 826-9131,2013-03-04,2018-07-17,3,494.73,Facial,ARCHIVE,Unqualified,unknown,Unsubscribe Rule,Pre-2019 last appointment,19,11,DaySmart,Matched — Both Systems,2026-04-14
DS-200692,ZCR-100636,DS-200692,John,Rodriguez,whitakerjack@example.net,(136) 957-2790,2014-01-15,2010-06-11,1,34.77,Pedicure,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,69,13,DaySmart,Matched — Both Systems,2026-04-14
DS-200694,ZCR-100638,DS-200694,Jessica,Savage,bridgescarolyn@example.com,(822) 850-1168,2014-01-02,2016-03-01,5,659.47,Consultation,ARCHIVE,Qualified,valid,Pass,Pre-2019 last appointment,27,27,DaySmart,Matched — Both Systems,2026-04-14
DS-200486,ZCR-100640,DS-200486,Anthony,Cabrera,jeffrey42@example.com,(089) 164-9837,2011-08-20,2013-10-13,1,108.55,Highlights,ARCHIVE,Working,valid,Pass,Pre-2019 last appointment,113,37,DaySmart,Matched — Both Systems,2026-04-14
DS-200703,ZCR-100646,DS-200703,John,Wang,sarah99@example.org,(707) 955-1512,2013-11-10,2010-05-03,1,222.42,Highlights,ARCHIVE,Unqualified,valid,Unsubscribe Rule,Pre-2019 last appointment,73,32,DaySmart,Matched — Both Systems,2026-04-14
DS-200731,ZCR-100671,DS-200731,Thomas,Garner,beardsarah@example.org,(011) 379-8440,2013-09-07,,0,0.0,,ARCHIVE,Unqualified,do_not_mail,Unsubscribe Rule,Pre-2019 last appointment,24,7,DaySmart,Matched — Both Systems,2026-04-14
DS-200732,ZCR-100672,DS-200732,Austin,Gregory,johnsonryan@example.com,(620) 901-4473,2017-11-20,2011-04-17,1,100.19,Manicure,ARCHIVE,Working,valid,Pass,Pre-2019 last appointment,25,24,DaySmart,Matched — Both Systems,2026-04-14
DS-204653,ZCR-100690,DS-204653,Mrs.,Victoria Martin,joseph63@example.net,(639) 266-9197,2016-05-10,2018-02-18,3,620.96,Highlights,ARCHIVE,Converted,valid,Unsubscribe Rule,Pre-2019 last appointment,58,47,DaySmart,Matched — Both Systems,2026-04-14
DS-201976,ZCR-100698,DS-201976,Jamie,Walls,timothy23@example.net,(703) 854-7872,2011-01-11,2012-01-13,1,139.21,Facial,ARCHIVE,Qualified,valid,Pass,Pre-2019 last appointment,8,4,DaySmart,Matched — Both Systems,2026-04-14
DS-200769,ZCR-100705,DS-200769,Ashley,Brooks,steven66@example.org,(945) 887-0715,2010-02-18,2016-03-20,3,480.57,Blowout,ARCHIVE,Working,valid,Unsubscribe Rule,Pre-2019 last appointment,106,60,DaySmart,Matched — Both Systems,2026-04-14
DS-200789,ZCR-100723,DS-200789,Phillip,Roberts,joneseric@example.org,(031) 421-7518,2014-03-15,2015-12-03,4,478.75,Haircut,ARCHIVE,Unqualified,catch-all,Pass,Pre-2019 last appointment,55,36,DaySmart,Matched — Both Systems,2026-04-14
DS-200796,ZCR-100729,DS-200796,Shannon,Cain,rebecca41@example.com,(046) 154-0211,2011-05-24,,0,0.0,,ARCHIVE,New,valid,Unsubscribe Rule,Pre-2019 last appointment,78,32,DaySmart,Matched — Both Systems,2026-04-14
DS-204507,ZCR-100750,DS-204507,John,Knight,william55@example.net,(355) 978-7996,2014-04-27,2018-07-10,4,772.93,Color Treatment,ARCHIVE,Qualified,valid,Unsubscribe Rule,Pre-2019 last appointment,87,2,DaySmart,Matched — Both Systems,2026-04-14
DS-200848,ZCR-100775,DS-200848,Cynthia,Palmer,david78@example.net,(561) 337-1844,2014-06-27,2018-01-24,2,425.72,Manicure,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,8,1,DaySmart,Matched — Both Systems,2026-04-14
DS-200895,ZCR-100816,DS-200895,Anthony,Adams,tcoleman@example.com,(901) 107-9771,2012-07-14,2018-06-11,2,360.63,Keratin Treatment,ARCHIVE,Working,valid,Unsubscribe Rule,Pre-2019 last appointment,15,0,DaySmart,Matched — Both Systems,2026-04-14
DS-200917,ZCR-100836,DS-200917,Cathy,Barnes,brian65@example.net,(953) 006-2212,2014-05-07,2016-04-23,3,504.46,Manicure,ARCHIVE,Qualified,valid,Pass,Pre-2019 last appointment,89,44,DaySmart,Matched — Both Systems,2026-04-14
DS-200956,ZCR-100871,DS-200956,John,Shepard,schneiderraymond@example.com,(801) 867-7403,2011-05-16,2013-01-07,2,327.38,Highlights,ARCHIVE,New,valid,Pass,Pre-2019 last appointment,26,10,DaySmart,Matched — Both Systems,2026-04-14
DS-200974,ZCR-100887,DS-200974,Lisa,Singh,phernandez@example.net,(419) 964-3385,2017-04-01,2016-04-11,4,600.15,Consultation,ARCHIVE,Unqualified,valid,Pass,Pre-2019 last appointment,13,2,DaySmart,Matched — Both Systems,2026-04-14
DS-201026,ZCR-100937,DS-201026,Patricia,Wilson,nramsey@example.com,(219) 262-2132,2014-02-11,2013-01-26,4,652.41,Blowout,ARCHIVE,Unqualified,catch-all,Pass,Pre-2019 last appointment,11,2,DaySmart,Matched — Both Systems,2026-04-14
DS-201060,ZCR-100967,DS-201060,Rodney,Brooks,julie80@example.net,(705) 326-0119,2013-12-19,2018-01-23,1,257.35,Highlights,ARCHIVE,Qualified,valid,Pass,Pre-2019 last appointment,45,7,DaySmart,Matched — Both Systems,2026-04-14
DS-201086,ZCR-100990,DS-201086,Albert,Stone,lauramanning@example.com,(739) 190-0889,2016-11-19,,0,0.0,,ARCHIVE,Working,valid,Pass,Pre-2019 last appointment,76,37,DaySmart,Matched — Both Systems,2026-04-14
DS-201234,ZCR-101048,DS-201234,William,Morgan,fsmith@example.com,(312) 315-5505,2016-07-07,2017-06-25,4,718.53,Manicure,ARCHIVE,Working,valid,Unsubscribe Rule,Pre-2019 last appointment,29,7,DaySmart,Matched — Both Systems,2026-04-14
DS-201206,ZCR-101099,DS-201206,Mitchell,Long,traci32@example.org,(622) 777-7331,2015-06-20,2010-05-14,1,92.65,Blowout,ARCHIVE,Converted,catch-all,Unsubscribe Rule,Pre-2019 last appointment,81,44,DaySmart,Matched — Both Systems,2026-04-14
DS-206333,ZCR-101110,DS-206333,Natalie,Dawson,xsmith@example.org,(268) 061-3365,2010-06-28,,0,0.0,,ARCHIVE,Unqualified,catch-all,Pass,Pre-2019 last appointment,8,5,DaySmart,Matched — Both Systems,2026-04-14
DS-203861,ZCR-101152,DS-203861,Gregory,Reyes,mary92@example.com,(593) 348-8695,2016-06-12,2015-08-21,2,144.21,Haircut,ARCHIVE,Qualified,valid,Unsubscribe Rule,Pre-2019 last appointment,27,4,DaySmart,Matched — Both Systems,2026-04-14
DS-201321,ZCR-101203,DS-201321,Sarah,Holt,gduke@example.net,(619) 971-6596,2012-07-12,2018-01-29,4,398.93,Massage,ARCHIVE,Working,valid,Unsubscribe Rule,Pre-2019 last appointment,35,8,DaySmart,Matched — Both Systems,2026-04-14
DS-201378,ZCR-101255,DS-201378,Kathy,Peterson,pmckee@example.net,(998) 127-4392,2013-01-09,2018-04-02,4,747.55,Keratin Treatment,ARCHIVE,Unqualified,do_not_mail,Do Not Mail,Pre-2019 last appointment,51,4,DaySmart,Matched — Both Systems,2026-04-14
DS-201611,ZCR-101281,DS-201611,Katherine,Dixon,ujones@example.com,(596) 957-9457,2010-08-09,2015-08-12,2,158.24,Keratin Treatment,ARCHIVE,New,unknown,Unsubscribe Rule,Pre-2019 last appointment,16,16,DaySmart,Matched — Both Systems,2026-04-14
DS-201421,ZCR-101294,DS-201421,Keith,Taylor,travis28@example.net,(703) 220-0748,2013-06-20,,0,0.0,,ARCHIVE,Converted,catch-all,Pass,Pre-2019 last appointment,59,47,DaySmart,Matched — Both Systems,2026-04-14
DS-201457,ZCR-101327,DS-201457,Christina,Morris,lamdaniel@example.com,(283) 603-0876,2018-05-10,2014-09-29,1,139.37,Consultation,ARCHIVE,Qualified,valid,Pass,Pre-2019 last appointment,79,44,DaySmart,Matched — Both Systems,2026-04-14
DS-201499,ZCR-101366,DS-201499,Robert,Freeman,diazmichael@example.net,(709) 404-2245,2014-05-18,2017-05-15,3,348.77,Manicure,ARCHIVE,Working,valid,Pass,Pre-2019 last appointment,92,36,DaySmart,Matched — Both Systems,2026-04-14
DS-206868,ZCR-101368,DS-206868,Erika,Morales,michael16@example.com,(556) 251-5577,2010-10-15,2015-04-12,2,478.82,Pedicure,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,89,20,DaySmart,Matched — Both Systems,2026-04-14
DS-201521,ZCR-101387,DS-201521,Andrew,Ward,armstrongjoshua@example.org,(671) 487-8310,2015-01-24,2016-02-25,4,352.38,Pedicure,ARCHIVE,Converted,valid,Unsubscribe Rule,Pre-2019 last appointment,49,49,DaySmart,Matched — Both Systems,2026-04-14
DS-201524,ZCR-101390,DS-201524,David,Jones,baileysara@example.com,(310) 108-9654,2012-10-13,2018-08-30,4,860.98,Manicure,ARCHIVE,New,valid,Pass,Pre-2019 last appointment,16,14,DaySmart,Matched — Both Systems,2026-04-14
DS-201525,ZCR-101391,DS-201525,James,Roberts,campbellkelly@example.net,(679) 486-9894,2011-03-20,,0,0.0,,ARCHIVE,Working,unknown,Pass,Pre-2019 last appointment,16,12,DaySmart,Matched — Both Systems,2026-04-14
DS-201599,ZCR-101459,DS-201599,Ryan,Grant MD,escobarrobert@example.com,(459) 858-6635,2016-05-25,2010-07-04,1,204.38,Haircut,ARCHIVE,Unqualified,do_not_mail,Do Not Mail,Pre-2019 last appointment,16,8,DaySmart,Matched — Both Systems,2026-04-14
DS-203091,ZCR-101466,DS-203091,Laura,Fernandez,zhall@example.com,(776) 396-6352,2016-07-29,2018-04-17,5,999.34,Highlights,ARCHIVE,New,do_not_mail,Do Not Mail,Pre-2019 last appointment,26,15,DaySmart,Matched — Both Systems,2026-04-14
DS-201649,ZCR-101505,DS-201649,Patrick,Alvarado,michael57@example.org,(309) 074-0635,2010-01-02,2010-11-01,1,109.98,Manicure,ARCHIVE,Converted,catch-all,Unsubscribe Rule,Pre-2019 last appointment,80,43,DaySmart,Matched — Both Systems,2026-04-14
DS-200187,ZCR-101524,DS-200187,Heather,Lopez,osmith@example.net,(230) 982-1506,2011-12-22,2013-03-10,1,118.62,Pedicure,ARCHIVE,Working,valid,Pass,Pre-2019 last appointment,36,19,DaySmart,Matched — Both Systems,2026-04-14
DS-202658,ZCR-101569,DS-202658,James,Davidson,andrew52@example.com,(106) 896-5532,2013-12-09,2011-02-27,2,268.29,Blowout,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,60,45,DaySmart,Matched — Both Systems,2026-04-14
DS-201723,ZCR-101572,DS-201723,Andrew,Gibson,kathleenbecker@example.com,(784) 830-3485,2010-03-20,,0,0.0,,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,44,41,DaySmart,Matched — Both Systems,2026-04-14
DS-200844,ZCR-101597,DS-200844,Jaime,Brown,christopher91@example.net,(507) 628-3976,2015-09-05,2014-11-23,3,586.45,Highlights,ARCHIVE,Unqualified,valid,Pass,Pre-2019 last appointment,5,5,DaySmart,Matched — Both Systems,2026-04-14
DS-200066,ZCR-101601,DS-200066,Jeffrey,Sullivan,zroberts@example.org,(529) 751-6136,2017-02-25,,0,0.0,,ARCHIVE,Converted,do_not_mail,Do Not Mail,Pre-2019 last appointment,88,1,DaySmart,Matched — Both Systems,2026-04-14
DS-201769,ZCR-101613,DS-201769,Julie,Wolfe,nicolegarcia@example.net,(569) 646-0773,2014-05-19,2016-11-06,4,722.89,Manicure,ARCHIVE,Converted,valid,Unsubscribe Rule,Pre-2019 last appointment,5,1,DaySmart,Matched — Both Systems,2026-04-14
DS-201782,ZCR-101625,DS-201782,Melissa,Cruz,marilyn55@example.com,(620) 213-5469,2016-01-09,,0,0.0,,ARCHIVE,Qualified,unknown,Pass,Pre-2019 last appointment,33,20,DaySmart,Matched — Both Systems,2026-04-14
DS-204706,ZCR-101641,DS-204706,Jack,Lee,wperez@example.com,(789) 880-1962,2016-03-30,,0,0.0,,ARCHIVE,Working,valid,Pass,Pre-2019 last appointment,28,24,DaySmart,Matched — Both Systems,2026-04-14
DS-201853,ZCR-101690,DS-201853,Sean,Davenport,davidhart@example.org,(071) 320-4484,2018-08-15,2014-02-11,1,120.3,Facial,ARCHIVE,New,valid,Pass,Pre-2019 last appointment,96,6,DaySmart,Matched — Both Systems,2026-04-14
DS-201864,ZCR-101700,DS-201864,Savannah,Figueroa,marylopez@example.net,(721) 215-1904,2015-01-03,2018-09-09,3,694.39,Highlights,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,66,25,DaySmart,Matched — Both Systems,2026-04-14
DS-201911,ZCR-101743,DS-201911,Mary,Roberts,cthompson@example.net,(353) 998-7591,2012-12-09,2018-11-13,1,219.1,Facial,ARCHIVE,New,valid,Unsubscribe Rule,Pre-2019 last appointment,104,23,DaySmart,Matched — Both Systems,2026-04-14
DS-201922,ZCR-101753,DS-201922,Matthew,Melendez,walterdavid@example.com,(594) 085-9356,2015-12-22,2017-05-23,3,399.76,Manicure,ARCHIVE,Converted,do_not_mail,Unsubscribe Rule,Pre-2019 last appointment,2,0,DaySmart,Matched — Both Systems,2026-04-14
DS-200681,ZCR-101769,DS-200681,Michael,Koch,qdavis@example.com,(335) 157-1840,2012-01-06,2013-07-24,1,84.78,Blowout,ARCHIVE,Working,do_not_mail,Unsubscribe Rule,Pre-2019 last appointment,1,1,DaySmart,Matched — Both Systems,2026-04-14
DS-201940,ZCR-101770,DS-201940,Jonathan,Dorsey,mistywolf@example.com,(785) 150-6688,2011-01-22,2016-10-26,2,457.75,Keratin Treatment,ARCHIVE,New,valid,Pass,Pre-2019 last appointment,60,9,DaySmart,Matched — Both Systems,2026-04-14
DS-201941,ZCR-101771,DS-201941,Holly,Perry,amiller@example.com,(894) 093-6364,2014-09-13,2017-10-15,1,233.76,Highlights,ARCHIVE,Working,do_not_mail,Do Not Mail,Pre-2019 last appointment,109,35,DaySmart,Matched — Both Systems,2026-04-14
DS-204217,ZCR-101774,DS-204217,Mr.,Brian Dudley,lisa16@example.com,(431) 218-2725,2015-10-14,2018-06-15,4,1048.54,Facial,ARCHIVE,Unqualified,valid,Unsubscribe Rule,Pre-2019 last appointment,39,10,DaySmart,Matched — Both Systems,2026-04-14
DS-203191,ZCR-101784,DS-203191,Patrick,Martinez,stephen66@example.org,(097) 490-9126,2014-04-15,,0,0.0,,ARCHIVE,Converted,valid,Unsubscribe Rule,Pre-2019 last appointment,36,15,DaySmart,Matched — Both Systems,2026-04-14
DS-207382,ZCR-101822,DS-207382,Albert,Mccarthy,timothy75@example.org,(016) 909-8513,2015-04-28,2014-09-10,2,373.07,Massage,ARCHIVE,Working,valid,Pass,Pre-2019 last appointment,43,32,DaySmart,Matched — Both Systems,2026-04-14
DS-202023,ZCR-101846,DS-202023,Lisa,Smith,paynejoseph@example.org,(340) 508-1056,2013-04-29,2017-02-16,4,761.93,Color Treatment,ARCHIVE,Working,valid,Pass,Pre-2019 last appointment,20,2,DaySmart,Matched — Both Systems,2026-04-14
DS-202101,ZCR-101918,DS-202101,Juan,Farmer,danielwilliams@example.org,(730) 871-4390,2016-08-19,2017-07-02,2,147.19,Consultation,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,52,47,DaySmart,Matched — Both Systems,2026-04-14
DS-202109,ZCR-101925,DS-202109,Barbara,Bauer,leslie40@example.com,(199) 508-1900,2013-04-27,2011-10-16,1,216.12,Color Treatment,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,21,9,DaySmart,Matched — Both Systems,2026-04-14
DS-202121,ZCR-101936,DS-202121,Maria,Roberts,ynewton@example.org,(107) 890-7869,2011-07-07,2018-06-01,1,273.11,Keratin Treatment,ARCHIVE,Unqualified,catch-all,Pass,Pre-2019 last appointment,110,20,DaySmart,Matched — Both Systems,2026-04-14
DS-201666,ZCR-101977,DS-201666,Andrew,Moore,brian30@example.net,(996) 469-2434,2015-04-26,2018-11-20,4,589.41,Keratin Treatment,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,31,7,DaySmart,Matched — Both Systems,2026-04-14
DS-202214,ZCR-102020,DS-202214,Lisa,Lara DVM,wtaylor@example.net,(468) 629-6610,2011-09-22,2015-05-10,2,324.22,Highlights,ARCHIVE,New,valid,Unsubscribe Rule,Pre-2019 last appointment,92,1,DaySmart,Matched — Both Systems,2026-04-14
DS-202248,ZCR-102051,DS-202248,Maria,Wall,davidsonshannon@example.com,(509) 423-1596,2011-06-11,2018-09-16,3,276.56,Haircut,ARCHIVE,Converted,valid,Pass,Pre-2019 last appointment,76,33,DaySmart,Matched — Both Systems,2026-04-14
DS-200992,ZCR-102066,DS-200992,Erik,Hill,uwilliams@example.com,(912) 151-6411,2014-11-25,2016-01-31,2,252.05,Pedicure,ARCHIVE,Working,valid,Unsubscribe Rule,Pre-2019 last appointment,47,39,DaySmart,Matched — Both Systems,2026-04-14
DS-202275,ZCR-102075,DS-202275,Emily,Jones,paul61@example.net,(360) 772-7204,2012-11-07,2015-10-01,3,369.11,Highlights,ARCHIVE,Unqualified,valid,Unsubscribe Rule,Pre-2019 last appointment,58,48,DaySmart,Matched — Both Systems,2026-04-14
DS-202370,ZCR-102161,DS-202370,Mrs.,Michelle Atkinson,kevinkirk@example.com,(851) 692-1751,2011-06-03,2017-01-05,3,767.42,Blowout,ARCHIVE,Working,valid,Unsubscribe Rule,Pre-2019 last appointment,87,13,DaySmart,Matched — Both Systems,2026-04-14
DS-202371,ZCR-102162,DS-202371,Juan,Murphy,ojohnson@example.com,(005) 745-8076,2014-04-10,2015-05-19,1,99.32,Blowout,ARCHIVE,Converted,do_not_mail,Do Not Mail,Pre-2019 last appointment,107,59,DaySmart,Matched — Both Systems,2026-04-14
DS-202403,ZCR-102191,DS-202403,Mark,Luna,melissa17@example.org,(368) 504-4852,2011-01-11,,0,0.0,,ARCHIVE,New,valid,Unsubscribe Rule,Pre-2019 last appointment,9,2,DaySmart,Matched — Both Systems,2026-04-14
DS-202416,ZCR-102203,DS-202416,Angela,Porter,gregory23@example.com,(906) 270-9401,2014-11-07,2016-12-14,2,216.91,Keratin Treatment,ARCHIVE,Working,valid,Unsubscribe Rule,Pre-2019 last appointment,52,28,DaySmart,Matched — Both Systems,2026-04-14
DS-202444,ZCR-102229,DS-202444,Todd,Heath,christinewilliams@example.net,(386) 039-0367,2015-11-15,2016-05-18,5,600.41,Color Treatment,ARCHIVE,Unqualified,valid,Unsubscribe Rule,Pre-2019 last appointment,38,38,DaySmart,Matched — Both Systems,2026-04-14
DS-202493,ZCR-102272,DS-202493,Brian,Moore,dbrown@example.net,(321) 529-4176,2013-09-11,,0,0.0,,ARCHIVE,New,valid,Pass,Pre-2019 last appointment,32,14,DaySmart,Matched — Both Systems,2026-04-14
DS-202494,ZCR-102273,DS-202494,Cynthia,King,georgekara@example.org,(612) 166-9481,2016-09-29,,0,0.0,,ARCHIVE,Converted,valid,Unsubscribe Rule,Pre-2019 last appointment,110,48,DaySmart,Matched — Both Systems,2026-04-14
DS-202518,ZCR-102295,DS-202518,Russell,Wilson,medwards@example.com,(792) 960-5865,2010-02-03,2016-03-07,1,298.17,Keratin Treatment,ARCHIVE,Unqualified,valid,Pass,Pre-2019 last appointment,117,52,DaySmart,Matched — Both Systems,2026-04-14
DS-202558,ZCR-102332,DS-202558,Anita,Graves,smithbrenda@example.com,(011) 474-7299,2013-09-14,2012-07-12,1,240.68,Facial,ARCHIVE,Qualified,valid,Pass,Pre-2019 last appointment,82,9,DaySmart,Matched — Both Systems,2026-04-14
DS-202560,ZCR-102334,DS-202560,Sarah,Grant,nicole65@example.org,(903) 483-0824,2010-09-24,2018-06-02,1,187.25,Color Treatment,ARCHIVE,Unqualified,do_not_mail,Unsubscribe Rule,Pre-2019 last appointment,11,9,DaySmart,Matched — Both Systems,2026-04-14
DS-202637,ZCR-102405,DS-202637,Carrie,Good MD,kevinhuber@example.net,(335) 668-2289,2014-11-19,2018-08-16,3,673.1,Consultation,ARCHIVE,Working,valid,Pass,Pre-2019 last appointment,90,53,DaySmart,Matched — Both Systems,2026-04-14
